CCLE_cell_line_names,GDSC_cell_line_names,CTRP_cell_line_names,Consensus_cell_line_names
,D-247MG,,D247MG
,D-263MG,,D263MG
,D-283MED,D283MED,D283MED
,D-336MG,,D336MG
,D-392MG,,D392MG
,D-423MG,,D423MG
,D-502MG,,D502MG
,D-542MG,,D542MG
,D-566MG,,D566MG
DAOY_CENTRAL_NERVOUS_SYSTEM,Daoy,DAOY,DAOY
,Daudi,DAUDI,DAUDI
,DB,DB,DB
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,DBTRG-05MG,DBTRG05MG,DBTRG05MG
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DEL,DEL,DEL
DETROIT562_UPPER_AERODIGESTIVE_TRACT,Detroit562,DETROIT562,DETROIT562
,DG-75,,DG75
,DJM-1,,DJM1
DKMG_CENTRAL_NERVOUS_SYSTEM,DK-MG,DKMG,DKMG
DMS114_LUNG,DMS-114,DMS114,DMS114
,DMS-153,,DMS153
,DMS-273,DMS273,DMS273
,DMS-53,DMS53,DMS53
,DMS-79,DMS79,DMS79
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DOHH-2,DOHH2,DOHH2
DOV13_OVARY,,DOV13,DOV13
,DOK,,DOK
,DoTc2-4510,,DoTc24510
,DSH1,,DSH1
DU145_PROSTATE,DU-145,DU145,DU145
,DU-4475,DU4475,DU4475
DV90_LUNG,DV-90,DV90,DV90
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,EB1,EB1
,EB-3,,EB3
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EB2,,EB2
EBC1_LUNG,,EBC1,EBC1
,EC-GI-10,ECGI10,ECGI10
,ECC10,ECC10,ECC10
,ECC12,ECC12,ECC12
,ECC4,,ECC4
EFE184_ENDOMETRIUM,EFE-184,EFE184,EFE184
EFM19_BREAST,EFM-19,,EFM19
EFO21_OVARY,EFO-21,EFO21,EFO21
EFO27_OVARY,EFO-27,EFO27,EFO27
,EGI-1,,EGI1
,EHEB,EHEB,EHEB
