"database1","database2","drug","drug_sensitivity_metric","correlation_type","correlation","p.permutations","p.bootstrap","confidence.interval","data_points"
"CCLE","GDSC","Lapatinib","AUC_EC50_adj","spearman","0.411076237724005","0.001","0.001","0.21713413842146,0.589645003090523","84"
"CCLE","GDSC","Lapatinib","AUC_IC50_adj","pearson","0.555235040669652","0.001","0.001","0.218510517024236,0.789826202891971","84"
"CCLE","GDSC","Lapatinib","AUC_IC50_adj","spearman","0.474408951147093","0.001","0.001","0.261846077050395,0.653106841268088","84"
"CCLE","GDSC","Paclitaxel","EC50","pearson",NA,NA,NA,"NA","86"
"CCLE","GDSC","Paclitaxel","EC50","spearman","0.364899716974552","0.001","0.001","0.154150636209579,0.551775936877162","86"
"CCLE","GDSC","Paclitaxel","IC50","pearson",NA,NA,NA,"NA","86"
"CCLE","GDSC","Paclitaxel","IC50","spearman","0.384939512679254","0.001","0.001","0.1738446488326,0.540056982025556","86"
"CCLE","GDSC","Paclitaxel","AUC_EC50","pearson","0.215424586169339","0.031","0.022","0.0200837437146184,0.402614546973992","86"
"CCLE","GDSC","Paclitaxel","AUC_EC50","spearman","0.318118779187698","0.003","0.005","0.0855427998013364,0.522689646245438","86"
"CCLE","GDSC","Paclitaxel","AUC_IC50","pearson","0.181796723934817","0.049","0.054","-0.0119510282750547,0.3643190214581","86"
"CCLE","GDSC","Paclitaxel","AUC_IC50","spearman","0.264738902778433","0.00600000000000001","0.00700000000000001","0.0371181206320263,0.466583999483017","86"
"CCLE","GDSC","Paclitaxel","AUC_EC50_adj","pearson","0.387664522501089","0.001","0.001","0.194741316008443,0.558976719521726","86"
"CCLE","GDSC","Paclitaxel","AUC_EC50_adj","spearman","0.412727015425256","0.001","0.001","0.197434538201462,0.603002330129639","86"
"CCLE","GDSC","Paclitaxel","AUC_IC50_adj","pearson","0.379825692363655","0.001","0.001","0.175548283183613,0.565381998880152","86"
"CCLE","GDSC","Paclitaxel","AUC_IC50_adj","spearman","0.382329355158262","0.001","0.001","0.177556835775882,0.565840363406323","86"
"CCLE","GDSC","PHA-665752","EC50","pearson",NA,NA,NA,"NA","89"
"CCLE","GDSC","PHA-665752","EC50","spearman","0.307378418632729","0.00700000000000001","0.00914634146341464","-0.0242302483871886,0.540189590085618","89"
"CCLE","GDSC","PHA-665752","IC50","pearson",NA,NA,NA,"NA","89"
"CCLE","GDSC","PHA-665752","IC50","spearman","0.280633733884774","0.016","0.0131445904954499","-0.0445383314103064,0.534224874252168","89"
"CCLE","GDSC","PHA-665752","AUC_EC50","pearson","0.0433689458687783","0.319","0.32","-0.185918654312897,0.268868162293741","89"
"CCLE","GDSC","PHA-665752","AUC_EC50","spearman","0.0337078651685393","0.388","0.386","-0.178457749655544,0.236313898169693","89"
"CCLE","GDSC","PHA-665752","AUC_IC50","pearson","0.0662212579780652","0.248","0.262","-0.177222039549214,0.303784348002015","89"
"CCLE","GDSC","PHA-665752","AUC_IC50","spearman","-0.0276132107592782","0.42","0.403","-0.240041276299208,0.196683956458094","89"
"CCLE","GDSC","PHA-665752","AUC_EC50_adj","pearson","0.0100541876783251","0.403","0.425","-0.178215982068643,0.226982278249958","89"
"CCLE","GDSC","PHA-665752","AUC_EC50_adj","spearman","-0.0590057882192714","0.306","0.304","-0.286161245541594,0.158129235213584","89"
"CCLE","GDSC","PHA-665752","AUC_IC50_adj","pearson","-0.00358498384610673","0.55","0.531","-0.190166975259943,0.222885867338623","89"
"CCLE","GDSC","PHA-665752","AUC_IC50_adj","spearman","-0.0541664138519056","0.31","0.322","-0.263421244349791,0.181158447317621","89"
"CCLE","GDSC","Saracatinib","EC50","pearson",NA,NA,NA,"NA","89"
"CCLE","GDSC","Saracatinib","EC50","spearman","0.267755955844089","0.01","0.00800000000000001","0.0379887391174522,0.49168208383203","89"
"CCLE","GDSC","Saracatinib","IC50","pearson",NA,NA,NA,"NA","89"
"CCLE","GDSC","Saracatinib","IC50","spearman","0.293705792145454","0.00700000000000001","0.004","0.02797738349492,0.528372531869356","89"
"CCLE","GDSC","Saracatinib","AUC_EC50","pearson","0.497782010504165","0.001","0.001","0.27321329150932,0.69066813904544","89"
"CCLE","GDSC","Saracatinib","AUC_EC50","spearman","0.42184201566224","0.001","0.001","0.22967906581581,0.593217705126398","89"
"CCLE","GDSC","Saracatinib","AUC_IC50","pearson","0.481880399088655","0.001","0.001","0.249333113753187,0.686481374994366","89"
"CCLE","GDSC","Saracatinib","AUC_IC50","spearman","0.41220633299285","0.001","0.001","0.198999053054913,0.594520317813195","89"
"CCLE","GDSC","Saracatinib","AUC_EC50_adj","pearson","0.477431978265954","0.001","0.001","0.234196442661464,0.681094279121299","89"
"CCLE","GDSC","Saracatinib","AUC_EC50_adj","spearman","0.397395301327886","0.001","0.001","0.191470181812625,0.574590236795346","89"
"CCLE","GDSC","Saracatinib","AUC_IC50_adj","pearson","0.496823354897411","0.001","0.001","0.223089226015816,0.717598840275378","89"
"CCLE","GDSC","Saracatinib","AUC_IC50_adj","spearman","0.37269694210306","0.001","0.001","0.154742582415594,0.557103240471294","89"
"CCLE","GDSC","Sorafenib","EC50","pearson",NA,NA,NA,"NA","85"
"CCLE","GDSC","Sorafenib","EC50","spearman","0.222537822948811","0.021","0.014","-0.0242527004248056,0.431547073657934","85"
"CCLE","GDSC","Sorafenib","IC50","pearson",NA,NA,NA,"NA","85"
"CCLE","GDSC","Sorafenib","IC50","spearman","0.241514666821183","0.022","0.017","0.0254741881501943,0.464333745910885","85"
"CCLE","GDSC","Sorafenib","AUC_EC50","pearson","0.325701732166109","0.001","0.001","0.0569354680692675,0.541554024172018","85"
"CCLE","GDSC","Sorafenib","AUC_EC50","spearman","0.132558139534884","0.132","0.095","-0.0814330383981273,0.344800595623959","85"
"CCLE","GDSC","Sorafenib","AUC_IC50","pearson","0.382489420305472","0.001","0.001","0.105228682394116,0.587028214339138","85"
"CCLE","GDSC","Sorafenib","AUC_IC50","spearman","0.225444596443228","0.022","0.014","-0.0181045068767671,0.429615537372136","85"
"CCLE","GDSC","Sorafenib","AUC_EC50_adj","pearson","0.350984090689421","0.00700000000000001","0.001","0.0475113738276837,0.588674638147063","85"
"CCLE","GDSC","Sorafenib","AUC_EC50_adj","spearman","0.114989251514559","0.157","0.153","-0.10728375619439,0.322295020305908","85"
"CCLE","GDSC","Sorafenib","AUC_IC50_adj","pearson","0.465180108621838","0.001","0.001","0.153139369060697,0.669793220652346","85"
"CCLE","GDSC","Sorafenib","AUC_IC50_adj","spearman","0.212605042016807","0.028","0.019","-0.00395904938567805,0.434731165689518","85"
"CCLE","GDSC","TAE684","EC50","pearson",NA,NA,NA,"NA","89"
"CCLE","GDSC","TAE684","EC50","spearman","0.350091813484028","0.001","0.001","0.15346004990481,0.534057990671692","89"
"CCLE","GDSC","TAE684","IC50","pearson",NA,NA,NA,"NA","89"
"CCLE","GDSC","TAE684","IC50","spearman","0.319111664147044","0.001","0.003","0.0980769917200547,0.489142665945525","89"
"CCLE","GDSC","TAE684","AUC_EC50","pearson","0.395136312901422","0.001","0.001","0.196709064721532,0.558435537583564","89"
"CCLE","GDSC","TAE684","AUC_EC50","spearman","0.35859720803541","0.001","0.001","0.161128370241479,0.52843392661602","89"
"CCLE","GDSC","TAE684","AUC_IC50","pearson","0.40423173526689","0.001","0.001","0.218715137456295,0.567119627359637","89"
"CCLE","GDSC","TAE684","AUC_IC50","spearman","0.360691181477698","0.001","0.001","0.159876761830952,0.54470249255407","89"
"CCLE","GDSC","TAE684","AUC_EC50_adj","pearson","0.307177690057213","0.004","0.005","0.0945143572100551,0.499942382920901","89"
"CCLE","GDSC","TAE684","AUC_EC50_adj","spearman","0.298757235274089","0.003","0.002","0.100405743202526,0.486300933781075","89"
"CCLE","GDSC","TAE684","AUC_IC50_adj","pearson","0.368353564844085","0.001","0.001","0.128683808962449,0.557635913787698","89"
"CCLE","GDSC","TAE684","AUC_IC50_adj","spearman","0.34019986725848","0.001","0.001","0.135946493442538,0.516643286817015","89"
"CCLE","CTRP","All","EC50","pearson","0.208612646816966","0.001","0.001","0.158642917831268,0.273431921371493","3296"
"CCLE","CTRP","All","EC50","spearman","0.673328650080881","0.001","0.001","0.655202540028578,0.691068435777994","7028"
"CCLE","CTRP","All","IC50","pearson","0.359772391156448","0.001","0.001","0.290496850609271,0.4330893045159","2973"
"CCLE","CTRP","All","IC50","spearman","0.661079017583458","0.001","0.001","0.643231878915937,0.67905891351933","7028"
"CCLE","CTRP","All","AUC_EC50","pearson","0.570038970946726","0.001","0.001","0.553433432212066,0.586885219583645","7028"
"CCLE","CTRP","All","AUC_EC50","spearman","0.554601750972348","0.001","0.001","0.536855444850345,0.572237463181431","7028"
"CCLE","CTRP","All","AUC_IC50","pearson","0.601742562982791","0.001","0.001","0.585255676587254,0.617213950469567","7028"
"CCLE","CTRP","All","AUC_IC50","spearman","0.586190687367314","0.001","0.001","0.568347173664337,0.603846561914939","7028"
"CCLE","CTRP","All","AUC_EC50_adj","pearson","0.815147200260064","0.001","0.001","0.80541622270855,0.824292646872583","7028"
"CCLE","CTRP","All","AUC_EC50_adj","spearman","0.749404516976468","0.001","0.001","0.735972321089487,0.762197029338611","7028"
"CCLE","CTRP","All","AUC_IC50_adj","pearson","0.822621978518856","0.001","0.001","0.812574354228647,0.831355004533551","7028"
"CCLE","CTRP","All","AUC_IC50_adj","spearman","0.750664665910584","0.001","0.001","0.737410725583629,0.763150247098981","7028"
"CCLE","CTRP","17-AAG","EC50","pearson",NA,NA,NA,"NA","441"
"CCLE","CTRP","17-AAG","EC50","spearman","0.648342506887588","0.001","0.001","0.563695673879057,0.720042321223182","441"
"CCLE","CTRP","17-AAG","IC50","pearson",NA,NA,NA,"NA","441"
"CCLE","CTRP","17-AAG","IC50","spearman","0.659982812042382","0.001","0.001","0.593072694853526,0.720576000950058","441"
"CCLE","CTRP","17-AAG","AUC_EC50","pearson","0.649532760830433","0.001","0.001","0.584114308977066,0.711217557007669","441"
"CCLE","CTRP","17-AAG","AUC_EC50","spearman","0.692517706383253","0.001","0.001","0.631432125584094,0.748752274986471","441"
"CCLE","CTRP","17-AAG","AUC_IC50","pearson","0.621009414945855","0.001","0.001","0.530200111734073,0.697486728653805","441"
"CCLE","CTRP","17-AAG","AUC_IC50","spearman","0.667568286055681","0.001","0.001","0.601499441529831,0.727706830496902","441"
"CCLE","CTRP","17-AAG","AUC_EC50_adj","pearson","0.649425186244222","0.001","0.001","0.585488871704014,0.709965090452608","441"
"CCLE","CTRP","17-AAG","AUC_EC50_adj","spearman","0.692084246285927","0.001","0.001","0.634172483882033,0.749661715009795","441"
"CCLE","CTRP","17-AAG","AUC_IC50_adj","pearson","0.62648668018163","0.001","0.001","0.542885675027118,0.70349801206038","441"
"CCLE","CTRP","17-AAG","AUC_IC50_adj","spearman","0.670987415945399","0.001","0.001","0.603204198743776,0.733404137655529","441"
"CCLE","CTRP","Crizotinib","EC50","pearson",NA,NA,NA,"NA","424"
"CCLE","CTRP","Crizotinib","EC50","spearman","0.436060078737031","0.001","0.001","0.349559641740561,0.518694211225267","424"
"CCLE","CTRP","Crizotinib","IC50","pearson",NA,NA,NA,"NA","424"
"CCLE","CTRP","Crizotinib","IC50","spearman","0.42769544717378","0.001","0.001","0.341891891897132,0.512465528086221","424"
"CCLE","CTRP","Crizotinib","AUC_EC50","pearson","0.324422139696774","0.001","0.001","0.201497705129987,0.429361389504481","424"
"CCLE","CTRP","Crizotinib","AUC_EC50","spearman","0.372513440542817","0.001","0.001","0.284270113300199,0.454330201996767","424"
