lineage_name	cell_line_name	accession_id	synonym_names	CCLE_Name	gdsc_id	nci_taxonomy_id	doid	doid_heiarchy	Broad_ID	broad_id_alt	grouped_general_doid	group_general_lineage_name
42	amelanotic melanoma	Hs 695T	CVCL_0851	['HS-695T', 'Hs-695-T', 'HS695T', 'Hs695T', 'HS695T']	HS695T_SKIN	NA	C3802	DOID:4359	[u'DOID:4359', u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000799		DOID:4159	skin cancer
43	amelanotic melanoma	A2058	CVCL_1059	['A2058', 'A-2058']	A2058_SKIN	906792	C3802	DOID:4359	[u'DOID:4359', u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000788		DOID:4159	skin cancer
44	amelanotic melanoma	MDA-MB-435S	CVCL_0622	['MDA-MB-435s', 'MDA-MB-435S', 'MDA-MB-435-S', 'MDAMB435S']	MDAMB435S_SKIN	NA	C3802	DOID:4359	[u'DOID:4359', u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000884		DOID:4159	skin cancer
45	amelanotic melanoma	LOX-IMVI	CVCL_1381	['LOX/IMVI', 'LOXIMVI', 'LOXIM-VI', 'LOXIMVI', 'LOX']	LOXIMVI_SKIN	905974	C3802	DOID:4359	[u'DOID:4359', u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000750		DOID:4159	skin cancer
46	amelanotic melanoma	C32 [Human melanoma]	CVCL_1097	['C-32', 'C32-mel', 'C32mel', 'C32r']	C32_SKIN	906830	C3802	DOID:4359	[u'DOID:4359', u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000580		DOID:4159	skin cancer
47	ampulla of vater adenocarcinoma	SNU-869	CVCL_5101	['SNU869']	SNU869_BILIARY_TRACT	NA	C6650	DOID:3502	[u'DOID:3502', u'DOID:4932', u'DOID:10020', u'DOID:10021', u'DOID:10154', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000182		DOID:162	cancer
48	ampulla of vater adenocarcinoma	SNU-478	CVCL_5065	['SNU478', 'NCI-SNU-478']	SNU478_BILIARY_TRACT	NA	C6650	DOID:3502	[u'DOID:3502', u'DOID:4932', u'DOID:10020', u'DOID:10021', u'DOID:10154', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000377		DOID:162	cancer
49	astrocytoma	1321N1	CVCL_0110	['1321-N1', '1321N1']	1321N1_CENTRAL_NERVOUS_SYSTEM	NA	C60781	DOID:3069	[u'DOID:3069', u'DOID:3070', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001000		DOID:3620	central nervous system cancer
50	astrocytoma	U-178MG	CVCL_A758	['U-178-MG', 'U-178MG', 'U178-MG', 'U178MG', 'U178MG', 'MG178', 'U-178', '178MG', '178MG']	U178_CENTRAL_NERVOUS_SYSTEM	NA	C60781	DOID:3069	[u'DOID:3069', u'DOID:3070', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000208		DOID:3620	central nervous system cancer
51	astrocytoma	NMC-G1	CVCL_1608	['NMCG-1', 'NMCG1', 'NationalMedicalCenter-Glioma1']	NMCG1_CENTRAL_NERVOUS_SYSTEM	908449	C60781	DOID:3069	[u'DOID:3069', u'DOID:3070', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000200		DOID:3620	central nervous system cancer
52	astrocytoma	LN-319	CVCL_3958	['LN319', 'LN319']	LN319_CENTRAL_NERVOUS_SYSTEM	NA	C60781	DOID:3069	[u'DOID:3069', u'DOID:3070', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000128		DOID:3620	central nervous system cancer
53	astrocytoma	LN-308	CVCL_0394	['LN308', 'LN308', 'LNZ-308', 'LNZ308', 'LNZ308', 'LN-Z308']	LNZ308_CENTRAL_NERVOUS_SYSTEM	NA	C60781	DOID:3069	[u'DOID:3069', u'DOID:3070', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000760		DOID:3620	central nervous system cancer
54	astrocytoma	TM-31	CVCL_6735	['TM31']	TM31_CENTRAL_NERVOUS_SYSTEM	NA	C60781	DOID:3069	[u'DOID:3069', u'DOID:3070', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000592		DOID:3620	central nervous system cancer
55	astrocytoma	LN-215	CVCL_3954	['LN215', 'LN215']	LN215_CENTRAL_NERVOUS_SYSTEM	NA	C60781	DOID:3069	[u'DOID:3069', u'DOID:3070', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000328		DOID:3620	central nervous system cancer
56	astrocytoma	SF268	CVCL_1689	['SF-268', 'SF268']	SF268_CENTRAL_NERVOUS_SYSTEM	905986	C60781	DOID:3069	[u'DOID:3069', u'DOID:3070', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000655		DOID:3620	central nervous system cancer
