"","DepMap_ID","Cell_line","CCLE_name","CCLE_histology","disease"
"1076","ACH-001119","MAC2A","MAC2A_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1077","ACH-001120","MB157","MB157_BREAST","breast","breast"
"1078","ACH-001121","MEC2","MEC2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1079","ACH-001122","MKL1","MKL1_SKIN","skin","skin"
"1080","ACH-001123","MKL2","MKL2_SKIN","skin","skin"
"1081","ACH-001125","MOGGCCM","MOGGCCM_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"1082","ACH-001126","MOGGUVW","MOGGUVW_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"1083","ACH-001127","MOLT4","MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1084","ACH-001128","MON","MON_SOFT_TISSUE","soft_tissue","rhabdoid"
"1085","ACH-001129","MONOMAC1","MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1086","ACH-001130","MOTN1","MOTN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1087","ACH-001131","MS1","MS1_SKIN","skin","skin"
"1088","ACH-001132","MTA","MTA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1089","ACH-001134","MYLA","MYLA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1090","ACH-001136","NCIH187","NCIH187_LUNG","lung","lung"
"1091","ACH-001137","NCIH1993","NCIH1993_LUNG","lung","lung"
"1092","ACH-001138","NCIH2141","NCIH2141_LUNG","lung","lung"
"1093","ACH-001140","NCIH820","NCIH820_LUNG","lung","lung"
"1094","ACH-001142","NHAHTDD","NHAHTDD_PRIMARY","primary","central_nervous_system"
"1095","ACH-001143","NKL","NKL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1096","ACH-001145","OC316","OC316_OVARY","ovary","ovarian"
"1097","ACH-001146","OCILY10","OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1098","ACH-001147","OCILY12","OCILY12_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1099","ACH-001148","OCILY132","OCILY132_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1100","ACH-001150","OUMS27","OUMS27_BONE","bone","bone"
"1101","ACH-001151","OVCAR5","OVCAR5_OVARY","ovary","ovarian"
"1102","ACH-001162","PCM6","PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1103","ACH-001163","CCLFPEDS0001T","CCLFPEDS0001T_KIDNEY","kidney","kidney"
"1104","ACH-001164","CCLFPEDS0003T","CCLFPEDS0003T_SOFT_TISSUE","soft_tissue","soft_tissue"
"1105","ACH-001170","PETA","PETA_SKIN","skin","skin"
"1106","ACH-001171","PL45","PL45_PANCREAS","pancreas","pancreas"
"1107","ACH-001173","R262","R262_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"1108","ACH-001175","RCC4","RCC4_KIDNEY","kidney","kidney"
"1109","ACH-001182","RPMI6666","RPMI6666_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1110","ACH-001183","RT11284","RT11284_URINARY_TRACT","urinary_tract","urinary_tract"
"1111","ACH-001184","SCMCRM2","SCMCRM2_SOFT_TISSUE","soft_tissue","rhabdomyosarcoma"
"1112","ACH-001187","SF8657","SF8657_SKIN","skin","skin"
"1113","ACH-001188","SHSY5Y","SHSY5Y_AUTONOMIC_GANGLIA","autonomic_ganglia","peripheral_nervous_system"
"1114","ACH-001189","SJRH30","SJRH30_SOFT_TISSUE","soft_tissue","rhabdomyosarcoma"
"1115","ACH-001190","SKMEL2","SKMEL2_SKIN","skin","skin"
"1116","ACH-001192","SKNEP1","SKNEP1_BONE","bone","bone"
"1117","ACH-001193","SKPNDW","SKPNDW_BONE","bone","bone"
"1118","ACH-001194","SKRC31","SKRC31_KIDNEY","kidney","kidney"
"1119","ACH-001196","SMSCTR","SMSCTR_SOFT_TISSUE","soft_tissue","rhabdomyosarcoma"
"1120","ACH-001197","SMZ1","SMZ1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1121","ACH-001198","SNB19","SNB19_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"1122","ACH-001199","SNUC2B","SNUC2B_LARGE_INTESTINE","large_intestine","colorectal"
"1123","ACH-001200","STM9101","STM9101_SOFT_TISSUE","soft_tissue","rhabdoid"
"1124","ACH-001201","SUMB002","SUMB002_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"1125","ACH-001203","SUPHD1","SUPHD1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1126","ACH-001205","TC32","TC32_BONE","bone","bone"
"1127","ACH-001206","TTC466","TCC466_BONE","bone","bone"
"1128","ACH-001207","TIG3TD","TIG3TD_FIBROBLAST","fibroblast","fibroblast"
"1129","ACH-001208","TK10","TK10_KIDNEY","kidney","kidney"
"1130","ACH-001210","TTC1240","TTC1240_SOFT_TISSUE","soft_tissue","rhabdoid"
"1131","ACH-001211","TTC549","TTC549_SOFT_TISSUE","soft_tissue","rhabdoid"
"1132","ACH-001212","TTC642","TTC642_SOFT_TISSUE","soft_tissue","rhabdoid"
"1133","ACH-001214","U138MG","U138MG_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"1134","ACH-001224","UMRC2","UMRC2_KIDNEY","kidney","kidney"
"1135","ACH-001228","UPCISCC152","UPCISCC152_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive_tract","upper_aerodigestive"
"1136","ACH-001230","UT7","UT7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1137","ACH-001232","UW228","UW228_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"1138","ACH-001233","VMRCLCD","VMRCLCD_LUNG","lung","lung"
"1139","ACH-001234","VMRCLCP","VMRCLCP_LUNG","lung","lung"
"1140","ACH-001239","WM2664","WM2664_SKIN","skin","skin"
"1141","ACH-001249","YMB1","YMB1_BREAST","breast","breast"
"1142","ACH-001270","127399","127399_SOFT_TISSUE","soft_tissue","soft_tissue"
"1143","ACH-001272","FUJI","FUJI_SOFT_TISSUE","soft_tissue","soft_tissue"
"1144","ACH-001274","SW982","SW982_SOFT_TISSUE","soft_tissue","soft_tissue"
"1145","ACH-001275","SYO1","SYO1_SOFT_TISSUE","soft_tissue","soft_tissue"
"1146","ACH-001277","YAMATO","YAMATO_SOFT_TISSUE","soft_tissue","soft_tissue"
"1147","ACH-001278","BIN67","BIN67_OVARY","ovary","rhabdoid"
"1148","ACH-001279","SCCOHT1","SCCOHT1_OVARY","ovary","rhabdoid"
"1149","ACH-001280","SCS214","SCS214_SOFT_TISSUE","soft_tissue","soft_tissue"
"1150","ACH-001282","CHLA258","CHLA258_BONE","bone","bone"
"1151","ACH-001283","TC106","TC106_BONE","bone","bone"
"1152","ACH-001289","COGAR359","COGAR359_SOFT_TISSUE","soft_tissue","rhabdoid"
"1153","ACH-001295","Y79","Y79_AUTONOMIC_GANGLIA","autonomic_ganglia","eye"
"1154","ACH-001300","CHLA15","CHLA15_AUTONOMIC_GANGLIA","autonomic_ganglia","peripheral_nervous_system"
"1155","ACH-001301","COGN278","COGN278_AUTONOMIC_GANGLIA","autonomic_ganglia","peripheral_nervous_system"
"1156","ACH-001302","COGN305","COGN305_AUTONOMIC_GANGLIA","autonomic_ganglia","peripheral_nervous_system"
"1157","ACH-001303","NB1643","NB1643_AUTONOMIC_GANGLIA","autonomic_ganglia","peripheral_nervous_system"
"1158","ACH-001306","8305C","8305C_THYROID","thyroid","thyroid"
"1159","ACH-001307","8505C","8505C_THYROID","thyroid","thyroid"
"1160","ACH-001310","HA1E","HA1E_KIDNEY","kidney","kidney"
"1161","ACH-001318","PLCPRF5","PLCPRF5_LIVER","liver","liver"
"1162","ACH-001321","TT","TT_THYROID","thyroid","thyroid"
"1163","ACH-001322","CME1","CME1_SOFT_TISSUE","soft_tissue","soft_tissue"
"1164","ACH-001328","A431","A431_SKIN","skin","skin"
"1165","ACH-001329","ANGMCSS","ANGMCSS_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"1166","ACH-001331","BICR10","BICR10_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive_tract","upper_aerodigestive"
"1167","ACH-001332","BICR78","BICR78_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive_tract","upper_aerodigestive"
"1168","ACH-001333","C33A","C33A_CERVIX","cervix","cervix"
"1169","ACH-001334","C4I","C4I_CERVIX","cervix","cervix"
"1170","ACH-001335","C4II","C4II_CERVIX","cervix","cervix"
"1171","ACH-001336","CASKI","CASKI_CERVIX","cervix","cervix"
"1172","ACH-001338","CHP134","CHP134_AUTONOMIC_GANGLIA","autonomic_ganglia","peripheral_nervous_system"
"1173","ACH-001339","COLO794","COLO794_SKIN","skin","skin"
"1174","ACH-001340","COV413A","COV413A_OVARY","ovary","ovarian"
"1175","ACH-001341","DOTC24510","DOTC24510_CERVIX","cervix","cervix"
"1176","ACH-001344","GIMEN","GIMEN_AUTONOMIC_GANGLIA","autonomic_ganglia","peripheral_nervous_system"
"1177","ACH-001345","GP5D","GP5D_LARGE_INTESTINE","large_intestine","colorectal"
"1178","ACH-001346","H103","H103_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive_tract","upper_aerodigestive"
"1179","ACH-001350","HTCC3","HTCC3_THYROID","thyroid","thyroid"
"1180","ACH-001353","JOPACA1","JOPACA1_PANCREAS","pancreas","pancreas"
