"","DepMap_ID","Cell_line","CCLE_histology","CCLE_name","disease","TCGA_classification","grouped_general_doid"
"290","ACH-000289","SNU466","central_nervous_system","SNU466_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"291","ACH-000290","NCIH209","lung","NCIH209_LUNG","lung","SCLC","DOID:1324"
"292","ACH-000291","OV90","ovary","OV90_OVARY","ovary","OV","DOID:2394"
"293","ACH-000292","NCIH841","lung","NCIH841_LUNG","lung","SCLC","DOID:1324"
"294","ACH-000293","KLE","endometrium","KLE_ENDOMETRIUM","uterus","UCEC","DOID:363"
"295","ACH-000294","NB4","haematopoietic_and_lymphoid_tissue","NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LAML","DOID:1240"
"296","ACH-000295","EM2","haematopoietic_and_lymphoid_tissue","EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LCML","DOID:1240"
"297","ACH-000296","OUMS23","large_intestine","OUMS23_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"298","ACH-000297","NCIH889","lung","NCIH889_LUNG","lung","SCLC","DOID:1324"
"299","ACH-000298","NCIH2029","lung","NCIH2029_LUNG","lung","SCLC","DOID:1324"
"300","ACH-000299","HNT34","haematopoietic_and_lymphoid_tissue","HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LAML","DOID:1240"
"301","ACH-000300","SLR25","kidney","SLR25_KIDNEY","kidney","KIRC","DOID:263"
"302","ACH-000301","LAMA84","haematopoietic_and_lymphoid_tissue","LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LCML","DOID:1240"
"303","ACH-000302","SNU1077","endometrium","SNU1077_ENDOMETRIUM","uterus","UCEC","DOID:363"
"304","ACH-000303","SNU5","stomach","SNU5_STOMACH","gastric","STAD","DOID:10534"
"305","ACH-000304","WM115","skin","WM115_SKIN","skin","SKCM","DOID:4159"
"306","ACH-000305","ECGI10","oesophagus","ECGI10_OESOPHAGUS","esophagus","ESCA","DOID:5041"
"307","ACH-000306","HS688AT","fibroblast","HS688AT_FIBROBLAST","fibroblast","SKCM","DOID:4159"
"308","ACH-000307","PK1","pancreas","PK1_PANCREAS","pancreas","PAAD","DOID:1793"
"309","ACH-000308","EFO21","ovary","EFO21_OVARY","ovary","OV","DOID:2394"
"310","ACH-000309","SKLU1","lung","SKLU1_LUNG","lung","LUAD","DOID:1324"
"311","ACH-000310","IMR32","autonomic_ganglia","IMR32_AUTONOMIC_GANGLIA","peripheral_nervous_system","NB","DOID:1192"
"312","ACH-000311","NCIH2122","lung","NCIH2122_LUNG","lung","LUAD","DOID:1324"
"313","ACH-000312","SKNBE2","autonomic_ganglia","SKNBE2_AUTONOMIC_GANGLIA","peripheral_nervous_system","NB","DOID:1192"
"314","ACH-000313","KMRC3","kidney","KMRC3_KIDNEY","kidney","KIRC","DOID:263"
"315","ACH-000314","HCC2108","lung","HCC2108_LUNG","lung","LUAD","DOID:1324"
"316","ACH-000315","KARPAS422","haematopoietic_and_lymphoid_tissue","KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","DLBC","DOID:0060058"
"317","ACH-000316","SNU886","liver","SNU886_LIVER","liver","LIHC","DOID:3571"
"318","ACH-000317","TUHR14TKB","kidney","TUHR14TKB_KIDNEY","kidney","KIRC","DOID:263"
"319","ACH-000318","TE10","oesophagus","TE10_OESOPHAGUS","esophagus","ESCA","DOID:5041"
"320","ACH-000319","MPP89","pleura","MPP89_PLEURA","mesothelioma","MESO","DOID:1324"
"321","ACH-000320","PSN1","pancreas","PSN1_PANCREAS","pancreas","PAAD","DOID:1793"
